UA,Subsector,Remaining_Emissions_MtCO2_yr
BTH,Iron and steel,27.444
BTH,Cement,6.7266
BTH,Chemicals,20.3797
BTH,Non-ferrous metals,0.084
BTH,Pulp and paper,0.0633
BTH,Equipment manufacturing,0.3717
BTH,Other industry,1.1137
YRD,Iron and steel,16.1229
YRD,Cement,11.1781
YRD,Chemicals,142.6535
YRD,Non-ferrous metals,0.2674
YRD,Pulp and paper,1.267
YRD,Equipment manufacturing,3.2116
YRD,Other industry,1.248
PRD,Iron and steel,0.0715
PRD,Cement,2.5326
PRD,Chemicals,29.2763
PRD,Non-ferrous metals,0.0402
PRD,Pulp and paper,0.304
PRD,Equipment manufacturing,0.0554
PRD,Other industry,0.2238
CP,Iron and steel,20.0079
CP,Cement,7.8669
CP,Chemicals,22.4655
CP,Non-ferrous metals,2.4029
CP,Pulp and paper,0.1792
CP,Equipment manufacturing,0.0172
CP,Other industry,4.1233
