UA,Sink_Capacity_Percent,Historical_Terrestrial_Sink_MtCO2_yr,Adjusted_Terrestrial_Sink_MtCO2_yr,Pressure_Ratio
BTH,80,128.0192072819998,102.41536582559985,0.5467929499501156
BTH,100,128.0192072819998,128.0192072819998,0.43743435996009256
BTH,120,128.0192072819998,153.62304873839975,0.3645286333000771
YRD,80,148.76532424656253,119.01225939725003,1.4788392464051208
YRD,100,148.76532424656253,148.76532424656253,1.1830713971240967
YRD,120,148.76532424656253,178.51838909587502,0.9858928309367474
PRD,80,32.59474848704561,26.075798789636487,1.2655412885420583
PRD,100,32.59474848704561,32.59474848704561,1.0124330308336467
PRD,120,32.59474848704561,39.11369818445473,0.8436941923613722
CP,80,210.68645606890416,168.54916485512334,0.338180257665438
CP,100,210.68645606890416,210.68645606890416,0.2705442061323504
CP,120,210.68645606890416,252.823747282685,0.22545350511029202
